Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-08-19 00:00:00-04:00,2.485361203221981,2.586266376790336,2.3849518583917866,2.4938108921051025,893181924,0.0,0.0
2004-08-20 00:00:00-04:00,2.510463115613272,2.711031763810558,2.4977875165028354,2.6918938159942627,456686856,0.0,0.0
2004-08-23 00:00:00-04:00,2.752537336169934,2.8203872541396398,2.7102858175213456,2.718984603881836,365122512,0.0,0.0
2004-08-24 00:00:00-04:00,2.7647152054705355,2.773662616515612,2.5740880168029325,2.6063971519470215,304946748,0.0,0.0
2004-08-25 00:00:00-04:00,2.6086348867034213,2.684189805691193,2.581793125982065,2.6344826221466064,183772044,0.0,0.0
2004-08-26 00:00:00-04:00,2.6083856049336633,2.682946500166814,2.6011783295560473,2.6819522380828857,141897960,0.0,0.0
2004-08-27 00:00:00-04:00,2.6866745893623296,2.699598575271051,2.626777818920264,2.638209819793701,124235640,0.0,0.0
2004-08-30 00:00:00-04:00,2.616587854739295,2.6218068422661767,2.5353164672851562,2.5353164672851562,103935960,0.0,0.0
2004-08-31 00:00:00-04:00,2.5425241785471475,2.5775674801505923,2.5390450897173182,2.544264078140259,98357544,0.0,0.0
2004-09-01 00:00:00-04:00,2.5524650757956593,2.559175811223938,2.477158552969945,2.4915740489959717,182765052,0.0,0.0
2004-09-02 00:00:00-04:00,2.4652295100176,2.544264240986401,2.4590162590315634,2.5228898525238037,302373324,0.0,0.0
2004-09-03 00:00:00-04:00,2.508971493970394,2.52860598002986,2.468459871825051,2.485609531402588,103048848,0.0,0.0
2004-09-07 00:00:00-04:00,2.510462955032275,2.5350682774881776,2.475668044635913,2.5246293544769287,116950932,0.0,0.0
2004-09-08 00:00:00-04:00,2.5037523750302895,2.5606668378599404,2.4977875125799884,2.5425240993499756,99712188,0.0,0.0
2004-09-09 00:00:00-04:00,2.5482403775978084,2.5527134913237495,2.5102147671821267,2.542772054672241,81234684,0.0,0.0
2004-09-10 00:00:00-04:00,2.5251266516809996,2.648400458735056,2.5176700418742346,2.617830276489258,173977848,0.0,0.0
2004-09-13 00:00:00-04:00,2.650139694345464,2.694379740671903,2.6459149683474963,2.671762704849243,156882960,0.0,0.0
2004-09-14 00:00:00-04:00,2.670520457011714,2.783604459202453,2.6541164335941296,2.7709288597106934,216579204,0.0,0.0
2004-09-15 00:00:00-04:00,2.7478152086076784,2.839028045306704,2.738867796499712,2.783604383468628,214261524,0.0,0.0
2004-09-16 00:00:00-04:00,2.792053924150154,2.8780477679951577,2.77490521182435,2.8325655460357666,185326488,0.0,0.0
2004-09-17 00:00:00-04:00,2.8437495827640498,2.9200503826141357,2.822127755167162,2.9200503826141357,189450360,0.0,0.0
2004-09-20 00:00:00-04:00,2.9066299693772706,3.0221988010269354,2.9021559079152373,2.966526985168457,212575212,0.0,0.0
2004-09-21 00:00:00-04:00,2.977711120019235,2.992872495128521,2.9205482606114117,2.9287497997283936,144575280,0.0,0.0
2004-09-22 00:00:00-04:00,2.9178136772236125,2.974231601324674,2.903149790552184,2.942169666290283,151624224,0.0,0.0
2004-09-23 00:00:00-04:00,2.953602693566467,3.047798075045942,2.9083686226793075,3.0028133392333984,170713116,0.0,0.0
2004-09-24 00:00:00-04:00,3.0057954603819366,3.0843329256703753,2.976467927268201,2.97820782661438,182469348,0.0,0.0
2004-09-27 00:00:00-04:00,2.9714968916842137,3.0043035109366008,2.9277545748240867,2.9391868114471436,141322536,0.0,0.0
